terms     sum_up           sum_down         rel_diff      
  49375   1.13844051e+01   1.13844376e+01   2.84818407e-06
  50000   1.13969221e+01   1.13970165e+01   8.28411066e-06
  50625   1.14094391e+01   1.14094400e+01   8.35864284e-08
  51250   1.14218607e+01   1.14217091e+01   1.32758778e-05
  51875   1.14337816e+01   1.14338312e+01   4.33723153e-06
  52500   1.14457026e+01   1.14458075e+01   9.16533463e-06
  53125   1.14576235e+01   1.14576426e+01   1.66469692e-06
  53750   1.14695444e+01   1.14693384e+01   1.79602175e-05
  54375   1.14808912e+01   1.14808989e+01   6.64529580e-07
  55000   1.14922161e+01   1.14923277e+01   9.70912424e-06
  55625   1.15035410e+01   1.15036259e+01   7.37831078e-06
  56250   1.15148659e+01   1.15147991e+01   5.79749667e-06
  56875   1.15260038e+01   1.15258474e+01   1.35696337e-05
  57500   1.15367327e+01   1.15367765e+01   3.80254414e-06
  58125   1.15474615e+01   1.15475874e+01   1.09014718e-05
  58750   1.15581903e+01   1.15582819e+01   7.92099490e-06
  59375   1.15689192e+01   1.15688639e+01   4.78119364e-06
  60000   1.15795698e+01   1.15793352e+01   2.02603605e-05
  60625   1.15897026e+01   1.15896978e+01   4.11431841e-07
  61250   1.15998354e+01   1.15999546e+01   1.02767563e-05
  61875   1.16099682e+01   1.16101065e+01   1.19106226e-05
  62500   1.16201010e+01   1.16201572e+01   4.84218253e-06
  63125   1.16302338e+01   1.16301069e+01   1.09060038e-05
  63750   1.16401758e+01   1.16399593e+01   1.85981789e-05
  64375   1.16497126e+01   1.16497145e+01   1.63724934e-07
  65000   1.16592493e+01   1.16593761e+01   1.08787444e-05
  65625   1.16687860e+01   1.16689472e+01   1.38120495e-05
  66250   1.16783228e+01   1.16784239e+01   8.65612674e-06
  66875   1.16878595e+01   1.16878128e+01   3.99817736e-06
  67500   1.16973963e+01   1.16971149e+01   2.40512763e-05
  68125   1.17064800e+01   1.17063313e+01   1.27086996e-05
  68750   1.17154207e+01   1.17154646e+01   3.74454635e-06
  69375   1.17243614e+01   1.17245140e+01   1.30145163e-05
  70000   1.17333021e+01   1.17334824e+01   1.53616656e-05
  70625   1.17422428e+01   1.17423716e+01   1.09642879e-05
  71250   1.17511835e+01   1.17511816e+01   1.62311210e-07
  71875   1.17601242e+01   1.17599163e+01   1.76786252e-05
  72500   1.17688885e+01   1.17685757e+01   2.65793442e-05
  73125   1.17772331e+01   1.17771578e+01   6.39713153e-06
  73750   1.17855778e+01   1.17856674e+01   7.60633429e-06
  74375   1.17939224e+01   1.17941074e+01   1.56870083e-05
  75000   1.18022671e+01   1.18024750e+01   1.76151898e-05
  75625   1.18106117e+01   1.18107748e+01   1.38076830e-05
  76250   1.18189564e+01   1.18190031e+01   3.95381358e-06
  76875   1.18273010e+01   1.18271675e+01   1.12887255e-05
  77500   1.18356457e+01   1.18352623e+01   3.23922577e-05
  78125   1.18435583e+01   1.18432970e+01   2.20634411e-05
  78750   1.18513069e+01   1.18512640e+01   3.62115520e-06
  79375   1.18590555e+01   1.18591671e+01   9.40879090e-06
  80000   1.18668041e+01   1.18670073e+01   1.71175743e-05
  80625   1.18745527e+01   1.18747911e+01   2.00779086e-05
  81250   1.18823013e+01   1.18825140e+01   1.78978353e-05
  81875   1.18900499e+01   1.18901777e+01   1.07477827e-05
  82500   1.18977985e+01   1.18977804e+01   1.52295615e-06
  83125   1.19055471e+01   1.19053268e+01   1.85040462e-05
  83750   1.19132957e+01   1.19128170e+01   4.01865400e-05
  84375   1.19205780e+01   1.19202518e+01   2.73611804e-05
  85000   1.19277306e+01   1.19276333e+01   8.15537987e-06
  85625   1.19348831e+01   1.19349575e+01   6.23268488e-06
  86250   1.19420357e+01   1.19422321e+01   1.64507383e-05
  86875   1.19491882e+01   1.19494524e+01   2.21073478e-05
  87500   1.19563408e+01   1.19566202e+01   2.33703031e-05
  88125   1.19634933e+01   1.19637365e+01   2.03272139e-05
  88750   1.19706459e+01   1.19708042e+01   1.32247578e-05
  89375   1.19777985e+01   1.19778223e+01   1.99050214e-06
  90000   1.19849510e+01   1.19847918e+01   1.32887208e-05
  90625   1.19921036e+01   1.19917116e+01   3.26853879e-05
  91250   1.19991894e+01   1.19985838e+01   5.04699492e-05
  91875   1.20057459e+01   1.20054092e+01   2.80408858e-05
  92500   1.20123024e+01   1.20121908e+01   9.28884492e-06
  93125   1.20188589e+01   1.20189228e+01   5.31631258e-06
  93750   1.20254154e+01   1.20256128e+01   1.64159792e-05
  94375   1.20319719e+01   1.20322580e+01   2.37782224e-05
  95000   1.20385284e+01   1.20388575e+01   2.73300138e-05
  95625   1.20450850e+01   1.20454168e+01   2.75526563e-05
  96250   1.20516415e+01   1.20519304e+01   2.39768051e-05
  96875   1.20581980e+01   1.20584049e+01   1.71622287e-05
  97500   1.20647545e+01   1.20648346e+01   6.63986793e-06
  98125   1.20713110e+01   1.20712252e+01   7.11032908e-06
  98750   1.20778675e+01   1.20775738e+01   2.43201266e-05
  99375   1.20844240e+01   1.20838852e+01   4.45894657e-05
 100000   1.20908508e+01   1.20901518e+01   5.78175604e-05
 103125   1.21206532e+01   1.21209230e+01   2.22666895e-05
 106250   1.21504555e+01   1.21507778e+01   2.65288527e-05
 109375   1.21802578e+01   1.21797647e+01   4.04802267e-05
 112500   1.22080345e+01   1.22079391e+01   7.81188828e-06
 115625   1.22348566e+01   1.22353373e+01   3.92846778e-05
 118750   1.22616787e+01   1.22620049e+01   2.65993167e-05
